Participant_ID,Age,Gender,State,Risk_Level,Referral_Source,Pre_Score,Post_Score,Follow_Up_Score
P001,15,Male,Texas,High,School,3,6,7
P002,14,Female,California,Medium,Family Referral,5,7,8
P003,16,Male,Texas,High,Juvenile Justice System,2,5,6
P004,13,Female,Florida,Low,School,6,8,9
P005,17,Male,New York,Medium,Social Services,4,6,7
P006,15,Female,Texas,High,School,3,6,6
P007,14,Male,California,Low,Family Referral,7,8,9
P008,16,Female,Texas,Medium,Social Services,5,7,7
P009,12,Male,Florida,High,Juvenile Justice System,2,4,5
P010,17,Female,Texas,Medium,School,4,6,7
P011,15,Male,Texas,High,Social Services,3,5,6
P012,13,Female,California,Low,Family Referral,6,8,9
P013,16,Male,Texas,Medium,School,5,7,8
P014,14,Female,Florida,High,Juvenile Justice System,2,5,6
P015,17,Male,Texas,Medium,Social Services,4,6,7
